clusters	cophenetic correlation
2	0.8215915912134599
3	0.8674904735820713
4	0.7721354361105492
5	0.7489541610374263
6	0.5619379696445637
7	0.5974066980954399
8	0.5589233165817201
9	0.5973165827914965
10	0.4451336616739637
