clusters	cophenetic correlation
2	0.7113993561246563
3	0.7191072362871219
4	0.7295542480551688
5	0.7260717200569585
6	0.766331081161403
7	0.7556368570224166
8	0.7552976551832942
9	0.7355435440202408
10	0.7459624945655703
