participant_id	clusters	similarity	relabel accuracy
136732	2	0.0	0.6496598639455783
100307	2	0.0	0.9013605442176871
100408	2	0.0	0.7448979591836735
101107	2	0.0	0.5272108843537415
101309	2	0.0	0.9149659863945578
101915	2	0.0	0.7482993197278912
103111	2	0.0	0.7210884353741497
103414	2	0.0	0.8095238095238095
103818	2	0.0	0.8741496598639455
105014	2	0.0	0.5578231292517006
105115	2	0.0	0.9319727891156463
106016	2	0.0	0.9421768707482994
108828	2	0.0	0.7448979591836735
110411	2	0.0	0.9081632653061225
111312	2	0.0	0.8537414965986394
111716	2	0.0	0.5272108843537415
113619	2	0.0	0.9387755102040817
113922	2	0.0	0.9761904761904762
114419	2	0.0	0.935374149659864
115320	2	0.0	0.5748299319727891
116524	2	0.0	0.9659863945578231
117122	2	0.0	0.9115646258503401
118528	2	0.0	0.5476190476190477
118730	2	0.0	0.7517006802721088
118932	2	0.0	0.8061224489795918
120111	2	0.0	0.8673469387755102
122317	2	0.0	0.6904761904761905
122620	2	0.0	0.8129251700680272
123117	2	0.0	0.8605442176870748
123925	2	0.0	0.95578231292517
124422	2	0.0	0.9387755102040817
125525	2	0.0	0.9727891156462585
126325	2	0.0	0.5884353741496599
127630	2	0.0	0.8197278911564626
127933	2	0.0	0.8129251700680272
128127	2	0.0	0.9727891156462585
128632	2	0.0	0.891156462585034
129028	2	0.0	0.9863945578231292
130013	2	0.0	0.9659863945578231
130316	2	0.0	0.9285714285714286
131217	2	0.0	0.9659863945578231
131722	2	0.0	0.7721088435374149
133019	2	0.0	0.9285714285714286
133928	2	0.0	0.9217687074829932
135225	2	0.0	0.9421768707482994
135932	2	0.0	0.9489795918367347
136833	2	0.0	0.9183673469387755
138534	2	0.0	0.9047619047619048
139637	2	0.0	0.8945578231292517
140925	2	0.0	0.7551020408163265
144832	2	0.0	0.9319727891156463
146432	2	0.0	0.6598639455782312
147737	2	0.0	0.8197278911564626
148335	2	0.0	0.7346938775510204
148840	2	0.0	0.935374149659864
149337	2	0.0	0.7857142857142857
149539	2	0.0	0.9625850340136054
