clusters	cophenetic correlation
2	0.9342627733544955
3	0.8576414190699992
4	0.8353884281060359
5	0.8065566030376208
6	0.765635291996927
7	0.7564380934257409
8	0.7490529742430282
9	0.7175109919946094
10	0.7022146675713506
