clusters	cophenetic correlation
2	0.9183581064671575
3	0.7981455808888794
4	0.8073588626438829
5	0.7801520721997177
6	0.7817258833466323
7	0.7647748597567956
8	0.7732427753425515
9	0.7553619532821126
10	0.7500059462620429
