clusters	cophenetic correlation
2	0.9431100788289831
3	0.8269856806642083
4	0.7780031864401159
5	0.7424507700153056
6	0.7440095245205843
7	0.7243511730819205
8	0.7236639912439861
9	0.7121786122170217
10	0.6831283264095815
